x,y
0.000000,1.000000
5.000000,0.996195
10.000000,0.984808
15.000000,0.965926
20.000000,0.939693
25.000000,0.906308
30.000000,0.866025
35.000000,0.819152
40.000000,0.766044
45.000000,0.707107
50.000000,0.642788
55.000000,0.573576
60.000000,0.500000
65.000000,0.422618
70.000000,0.342020
75.000000,0.258819
80.000000,0.173648
85.000000,0.087156
90.000000,0.000000
95.000000,-0.087156
100.000000,-0.173648
105.000000,-0.258819
110.000000,-0.342020
115.000000,-0.422618
120.000000,-0.500000
125.000000,-0.573576
130.000000,-0.642787
135.000000,-0.707105
140.000000,-0.766041
145.000000,-0.819147
150.000000,-0.866017
155.000000,-0.906295
160.000000,-0.939673
165.000000,-0.965896
170.000000,-0.984762
175.000000,-0.996127
180.000000,-0.999900
185.000000,-0.996048
190.000000,-0.984595
195.000000,-0.965620
200.000000,-0.939258
205.000000,-0.905695
210.000000,-0.865168
215.000000,-0.817964
220.000000,-0.764409
225.000000,-0.704873
230.000000,-0.639758
235.000000,-0.569493
240.000000,-0.494533
245.000000,-0.415343
250.000000,-0.332396
255.000000,-0.246159
260.000000,-0.157085
265.000000,-0.065599
270.000000,0.027914
275.000000,0.123128
280.000000,0.219788
285.000000,0.317733
290.000000,0.416918
295.000000,0.517437
300.000000,0.619548
305.000000,0.723712
310.000000,0.830618
315.000000,0.941231
320.000000,1.056829
325.000000,1.179059
330.000000,1.309990
335.000000,1.452177
340.000000,1.608735
345.000000,1.783415
350.000000,1.980700
355.000000,2.205905
360.000000,2.465289
365.000000,2.766189
