x,y
-4.000000,-3.533333
-3.750000,-2.447876
-3.500000,-1.645052
-3.250000,-1.063094
-3.000000,-0.650000
-2.750000,-0.362557
-2.500000,-0.165365
-2.250000,-0.029858
-2.000000,0.066667
-1.750000,0.142033
-1.500000,0.210156
-1.250000,0.282023
-1.000000,0.366667
-0.750000,0.472144
-0.500000,0.606510
-0.250000,0.778800
0.000000,1.000000
0.250000,1.284025
0.500000,1.648698
0.750000,2.116724
1.000000,2.716667
1.250000,3.483927
1.500000,4.461719
1.750000,5.702043
2.000000,7.266667
2.250000,9.228101
2.500000,11.670573
2.750000,14.691007
3.000000,18.400000
3.250000,22.922795
3.500000,28.400260
3.750000,34.989868
4.000000,42.866667
