x,y
0.000000,0.000000
5.000000,0.087156
10.000000,0.173648
15.000000,0.258819
20.000000,0.342020
25.000000,0.422618
30.000000,0.500000
35.000000,0.573576
40.000000,0.642788
45.000000,0.707107
50.000000,0.766044
55.000000,0.819152
60.000000,0.866025
65.000000,0.906308
70.000000,0.939693
75.000000,0.965926
80.000000,0.984808
85.000000,0.996195
90.000000,1.000000
95.000000,0.996195
100.000000,0.984808
105.000000,0.965926
110.000000,0.939693
115.000000,0.906308
120.000000,0.866025
125.000000,0.819152
130.000000,0.766044
135.000000,0.707107
140.000000,0.642788
145.000000,0.573576
150.000000,0.500000
155.000000,0.422618
160.000000,0.342020
165.000000,0.258819
170.000000,0.173648
175.000000,0.087156
180.000000,0.000000
185.000000,-0.087156
190.000000,-0.173648
195.000000,-0.258819
200.000000,-0.342020
205.000000,-0.422618
210.000000,-0.500000
215.000000,-0.573576
220.000000,-0.642788
225.000000,-0.707107
230.000000,-0.766044
235.000000,-0.819152
240.000000,-0.866025
245.000000,-0.906308
250.000000,-0.939693
255.000000,-0.965926
260.000000,-0.984808
265.000000,-0.996195
270.000000,-1.000000
275.000000,-0.996195
280.000000,-0.984807
285.000000,-0.965925
290.000000,-0.939692
295.000000,-0.906307
300.000000,-0.866024
305.000000,-0.819150
310.000000,-0.766042
315.000000,-0.707103
320.000000,-0.642782
325.000000,-0.573568
330.000000,-0.499989
335.000000,-0.422602
340.000000,-0.341998
345.000000,-0.258788
350.000000,-0.173605
355.000000,-0.087096
360.000000,0.000083
365.000000,0.087269
